record_id,hotel_name,date,meal_type,food_item,quantity_wasted_kg,reason
1,Hotel Buffet,2025-01-01,Breakfast,Sambar,3.17,Expired
2,Hotel Buffet,2025-01-02,Breakfast,Pizza,3.56,Customer Leftover
3,Hotel Buffet,2025-01-03,Breakfast,Chicken Curry,2.61,Overproduction
4,Hotel Buffet,2025-01-04,Breakfast,Fried Rice,3.11,Plate Waste
5,Hotel Buffet,2025-01-05,Dinner,Paneer Curry,4.96,Improper Storage
6,Hotel Buffet,2025-01-06,Dinner,Biryani,3.8,Overproduction
7,Hotel Buffet,2025-01-07,Dinner,Sambar,0.73,Preparation Waste
8,Hotel Buffet,2025-01-08,Dinner,Paneer Curry,3.63,Preparation Waste
9,Hotel Buffet,2025-01-09,Breakfast,Paneer Curry,0.55,Overproduction
10,Hotel Buffet,2025-01-10,Dinner,Paneer Curry,3.31,Improper Storage
11,Hotel Buffet,2025-01-11,Lunch,Idli,3.56,Customer Leftover
12,Hotel Buffet,2025-01-12,Dinner,Sambar,3.14,Customer Leftover
13,Hotel Buffet,2025-01-13,Lunch,Bread,2.47,Expired
14,Hotel Buffet,2025-01-14,Dinner,Sambar,2.16,Overproduction
15,Hotel Buffet,2025-01-15,Dinner,Fried Rice,0.63,Preparation Waste
16,Hotel Buffet,2025-01-16,Lunch,Bread,3.72,Improper Storage
17,Hotel Buffet,2025-01-17,Breakfast,Dosa,3.81,Improper Storage
18,Hotel Buffet,2025-01-18,Breakfast,Dosa,4.61,Customer Leftover
19,Hotel Buffet,2025-01-19,Dinner,Sandwich,3.7,Customer Leftover
20,Hotel Buffet,2025-01-20,Dinner,Sambar,2.61,Customer Leftover
21,Hotel Buffet,2025-01-21,Lunch,Paneer Curry,1.49,Customer Leftover
22,Hotel Buffet,2025-01-22,Dinner,Rice,1.2,Customer Leftover
23,Hotel Buffet,2025-01-23,Breakfast,Burger,3.87,Preparation Waste
24,Hotel Buffet,2025-01-24,Breakfast,Paneer Curry,1.32,Overproduction
25,Hotel Buffet,2025-01-25,Breakfast,Pasta,3.09,Expired
26,Hotel Buffet,2025-01-26,Lunch,Pasta,3.64,Customer Leftover
27,Hotel Buffet,2025-01-27,Breakfast,Fried Rice,4.17,Customer Leftover
28,Hotel Buffet,2025-01-28,Dinner,Pasta,4.74,Customer Leftover
29,Hotel Buffet,2025-01-29,Breakfast,Pasta,0.99,Expired
30,Hotel Buffet,2025-01-30,Lunch,Idli,2.78,Customer Leftover
31,Hotel Buffet,2025-01-31,Breakfast,Biryani,2.88,Expired
32,Hotel Buffet,2025-02-01,Lunch,Bread,3.36,Plate Waste
33,Hotel Buffet,2025-02-02,Breakfast,Upma,2.44,Preparation Waste
34,Hotel Buffet,2025-02-03,Dinner,Idli,3.95,Customer Leftover
35,Hotel Buffet,2025-02-04,Lunch,Idli,3.1,Expired
36,Hotel Buffet,2025-02-05,Breakfast,Pizza,2.25,Customer Leftover
37,Hotel Buffet,2025-02-06,Dinner,Upma,2.24,Overproduction
38,Hotel Buffet,2025-02-07,Lunch,Sambar,1.86,Customer Leftover
39,Hotel Buffet,2025-02-08,Breakfast,Sambar,1.06,Improper Storage
40,Hotel Buffet,2025-02-09,Lunch,Biryani,2.98,Plate Waste
41,Hotel Buffet,2025-02-10,Breakfast,Burger,4.74,Preparation Waste
42,Hotel Buffet,2025-02-11,Dinner,Upma,2.81,Plate Waste
43,Hotel Buffet,2025-02-12,Dinner,Pizza,3.48,Preparation Waste
44,Hotel Buffet,2025-02-13,Dinner,Chicken Curry,4.16,Preparation Waste
45,Hotel Buffet,2025-02-14,Dinner,Noodles,4.79,Preparation Waste
46,Hotel Buffet,2025-02-15,Lunch,Noodles,4.18,Preparation Waste
47,Hotel Buffet,2025-02-16,Lunch,Rice,2.36,Customer Leftover
48,Hotel Buffet,2025-02-17,Dinner,Chicken Curry,1.82,Plate Waste
49,Hotel Buffet,2025-02-18,Breakfast,Bread,1.4,Expired
50,Hotel Buffet,2025-02-19,Lunch,Upma,1.38,Customer Leftover
51,Hotel Buffet,2025-02-20,Dinner,Pasta,4.26,Overproduction
52,Hotel Buffet,2025-02-21,Lunch,Dosa,2.45,Overproduction
53,Hotel Buffet,2025-02-22,Dinner,Rice,2.95,Overproduction
54,Hotel Buffet,2025-02-23,Dinner,Idli,0.74,Plate Waste
55,Hotel Buffet,2025-02-24,Lunch,Upma,4.05,Overproduction
56,Hotel Buffet,2025-02-25,Dinner,Pizza,0.86,Plate Waste
57,Hotel Buffet,2025-02-26,Dinner,Rice,4.36,Preparation Waste
58,Hotel Buffet,2025-02-27,Breakfast,Burger,0.86,Preparation Waste
59,Hotel Buffet,2025-02-28,Breakfast,Paneer Curry,1.31,Preparation Waste
60,Hotel Buffet,2025-03-01,Dinner,Sambar,4.24,Customer Leftover
61,Hotel Buffet,2025-03-02,Lunch,Sambar,0.51,Expired
62,Hotel Buffet,2025-03-03,Dinner,Sandwich,3.17,Expired
63,Hotel Buffet,2025-03-04,Breakfast,Biryani,0.73,Improper Storage
64,Hotel Buffet,2025-03-05,Breakfast,Paneer Curry,4.96,Expired
65,Hotel Buffet,2025-03-06,Lunch,Bread,1.07,Customer Leftover
66,Hotel Buffet,2025-03-07,Lunch,Paneer Curry,4.17,Improper Storage
67,Hotel Buffet,2025-03-08,Breakfast,Bread,4.24,Preparation Waste
68,Hotel Buffet,2025-03-09,Lunch,Bread,0.79,Preparation Waste
69,Hotel Buffet,2025-03-10,Lunch,Upma,4.16,Plate Waste
70,Hotel Buffet,2025-03-11,Dinner,Sambar,1.78,Customer Leftover
71,Hotel Buffet,2025-03-12,Lunch,Biryani,3.95,Overproduction
72,Hotel Buffet,2025-03-13,Breakfast,Noodles,0.97,Plate Waste
